year,bioenergy crop cultivation,food crop,forest,pasture,grassland/shrubland,non-food crop,other arable land,non-arable land
2010.0,0.0,8.269359076234007,30.024750037689003,33.02956870275156,31.750395943877987,3.290926581131096,3.7046475058090005,21.616585596662997
2015.0,0.0,8.471370428528537,30.036451689472,33.00430644069886,31.642524334958985,3.4337176632661293,3.481275881317998,21.616585596662997
2020.0,0.2273993071466019,8.587597388301516,30.032412591674998,32.95915097221715,31.52134002258798,3.5029947447080896,3.2387497927860003,21.616585596662997
2025.0,0.9057331471655885,8.36381169501017,30.4043501122663,32.82585651342339,31.357423656660988,3.417772969198512,2.7946989839770997,21.616585596662997
2030.0,2.4964536721043777,7.952590418301762,30.56634080124537,32.46618275789717,31.12705004366199,3.237466981342264,2.2235628732879005,21.616585596662997
2035.0,4.542617771872423,7.510898895121953,30.527530703877833,31.95295976425736,30.854567774204984,3.004307069742457,1.6767647419661007,21.616585596662997
2040.0,4.7624052105723695,7.444875754896433,30.634331361887554,31.897236734896275,30.794965746930988,2.946734153495337,1.5890995890447999,21.616585596662997
2045.0,4.811539722696636,7.398721724036962,30.74853675467664,31.881798833422735,30.762325829538987,2.916543745253485,1.5501796494084021,21.616585596662997
2050.0,4.718345277081021,7.3494447353845915,30.878122667456925,31.90623854643602,30.757611662808987,2.9029287882835453,1.5569514538000506,21.616585596662997
2055.0,4.581188681280883,7.326164044408868,31.00638373884224,31.914827683374813,30.771878880315988,2.879476970392773,1.5897272575920105,21.616585596662997
2060.0,4.384189116637218,7.291396812554864,31.137335200596308,31.953125911539463,30.801308177977987,2.854992061342764,1.6472993669245906,21.616585596662997
2065.0,4.164919237375317,7.235213375943308,31.265949083869423,32.01226261769951,30.840443638661984,2.8287195856303713,1.72213738756495,21.616585596662997
2070.0,4.018167975661543,7.173472934452334,31.368298310173348,32.05070298298983,30.872180351051988,2.804054484635852,1.7827690760957016,21.616585596662997
2075.0,3.9546745996406396,7.099399800854551,31.44529489845429,32.070798764057365,30.897655915329985,2.772697101347278,1.8291283065035229,21.616585596662997
2080.0,3.9253839590992374,7.008260900041925,31.510401141128327,32.090956274648775,30.923926182414988,2.7336619817738868,1.8770543736633702,21.616585596662997
2085.0,3.8823495219926127,6.908423653441238,31.57243449650335,32.12368817374155,30.95551712864499,2.6918966028377023,1.9353380916537495,21.616585596662997
2090.0,3.784251822764827,6.804520140909864,31.641585101343832,32.1810035969389,30.996733887089988,2.6490089545781843,2.01254540938158,21.616585596662997
2095.0,3.68394886825295,6.693214923290369,31.706172302706836,32.24504287471929,31.040643885183986,2.6045473716493195,2.0960749596560997,21.616585596662997
2100.0,3.6550972719715475,6.575661822707424,31.74711138921671,32.293668686698034,31.07664252147799,2.557393589185422,2.1640721987702625,21.616585596662997
