year,bioenergy crop cultivation,forest,food crop,pasture,grassland/shrubland,non-food crop,other arable land,non-arable land
2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,0.0,0.01169564415399904,0.20201553696961838,-0.025259624602391284,-0.10787538872000013,0.1427996399495184,-0.22337919281100138,0.0
2020.0,0.22739883015731438,0.00765685884099554,0.31824192502526394,-0.07041160851469641,-0.22906050067999928,0.21207537945334787,-0.46590610904000096,0.0
2025.0,0.9057356694024391,0.3795995080522978,0.09444752334347939,-0.2037033940091888,-0.39297644456800285,0.12685112791388864,-0.9099543673340018,0.0
2030.0,2.496449155005748,0.541585489070517,-0.31676433175745267,-0.5633774591814245,-0.623351391386997,-0.05345119282259558,-1.4810924663885006,0.0
2035.0,5.335253634814213,0.42161269540537916,-0.9374131572930491,-1.2769847602921516,-0.9836616358139985,-0.37118123871230235,-2.1876290394675015,0.0
2040.0,6.08404348260608,0.5089384461332251,-1.1720181417731936,-1.4785721180310034,-1.088385284868,-0.5133347100168155,-2.340672952983741,0.0
2045.0,6.285838097214829,0.6457266591502098,-1.2959844652159962,-1.548850409584123,-1.1149394036984006,-0.606409347927026,-2.365381157887602,0.0
2050.0,6.114328130846179,0.8057317471701175,-1.351503849080042,-1.5114670012314342,-1.0927901295714975,-0.6459756065165951,-2.31832356436668,0.0
2055.0,5.898644934758439,0.9661601204565571,-1.3953683926895675,-1.4748954269904715,-1.0521483352663026,-0.6962945044591073,-2.2461007713924874,0.0
2060.0,5.65279246622869,1.1106682057919741,-1.4405959945764906,-1.4185816979022299,-1.0065680975265963,-0.7317409610854342,-2.1659742592096523,0.0
2065.0,5.413722175817239,1.2456060108377862,-1.5053207804392814,-1.349649386130217,-0.9567535411765995,-0.7696001756823345,-2.07800325365804,0.0
2070.0,5.2155879383378725,1.3528689455532152,-1.559460526459591,-1.2892457479471062,-0.9146736477581001,-0.8019284364577213,-2.0031509700189396,0.0
2075.0,5.079777920147164,1.4376817875889998,-1.6250470715865406,-1.2420236594788108,-0.8782619997523007,-0.8327492657887121,-1.939379481087178,0.0
2080.0,4.9761349616448225,1.5127016066569432,-1.7088985872430342,-1.1937105207896685,-0.8414520811222985,-0.8714336453932723,-1.8733437273941518,0.0
2085.0,4.8878208439704816,1.5785730414298165,-1.8028719155431343,-1.1400915090256625,-0.8034746328966023,-0.9146959915514032,-1.8052598544377483,0.0
2090.0,4.8077975985976975,1.6371588509017094,-1.9061961000014858,-1.0823103256492494,-0.7640943758251026,-0.9583228999286852,-1.7340352901050158,0.0
2095.0,4.729015155468562,1.6916749845494472,-2.0188508077933074,-1.0195487683703917,-0.7219454141924011,-1.0041100764464654,-1.6562371843619812,0.0
2100.0,4.674501328452984,1.736501136116864,-2.1368627540747003,-0.9595425624924445,-0.6815929636958984,-1.0523057984839599,-1.5807004763950756,0.0
